Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_1_cat,Symptom_2_cat,Symptom_3_cat,Symptom_4_cat,Symptom_5_cat,Symptom_6_cat,Symptom_7_cat,Symptom_8_cat,Symptom_9_cat,Symptom_10_cat,Symptom_11_cat,Symptom_12_cat,Symptom_13_cat,Symptom_14_cat,Symptom_15_cat,Symptom_16_cat,Symptom_17_cat
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,41,60,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,41,60,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,41,60,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,itching,skin_rash,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,60,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,itching,skin_rash,nodal_skin_eruptions,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,41,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,41,60,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,41,60,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,itching,skin_rash,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,60,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,itching,skin_rash,nodal_skin_eruptions,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,41,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,41,60,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,7,26,5,57,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,shivering,chills,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26,5,57,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,chills,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,5,57,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,shivering,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,26,57,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,shivering,chills,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,26,5,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,shivering,chills,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26,5,57,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,chills,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,5,57,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,shivering,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,26,57,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,shivering,chills,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,26,5,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,None,None,None,None,None,None,None,None,None,None,None,None,None,7,26,5,57,74,74,74,74,74,74,74,74,74,74,74,74,74
